스캔시각,심볼,코인명,종합예측점수,패턴유사도,매집점수,스캔당시가격,거래량절벽,이평선수렴,CMF지표,RSI,시차상관성,진짜매집판정
2026-08-01 04:42:48,PIEVERSE,파이버스,158.2,95.6,140,953.0,0.06,1.57,-0.536,49.5,-1.0,보통 수급
2026-08-01 04:42:48,MMT,모멘텀,85.99,88.3,5,296.0,19.42,10.93,-0.525,59.0,-1.0,보통 수급
2026-08-01 04:42:48,ONDO,온도파이낸스,83.2,92.9,35,562.0,0.78,5.77,-0.052,51.9,-1.0,보통 수급
2026-08-01 04:42:48,XEC,이캐시,74.74,69.9,0,0.00963,9.65,10.39,-0.088,32.7,-1.0,보통 수급
2026-08-01 04:42:48,ETH,이더리움,72.9,0.0,95,2674000.0,0.84,0.81,-0.008,46.1,-1.0,보통 수급
2026-08-01 04:42:48,SHIB,시바이누,72.58,0.0,90,0.00677,0.28,5.08,-0.137,60.2,-1.0,보통 수급
2026-08-01 04:42:48,USDT,테더,69.37,0.0,65,1437.0,1.33,1.58,-0.143,32.4,-0.07,보통 수급
2026-08-01 04:42:48,XRP,엑스알피(리플),69.31,0.0,50,1525.0,0.85,3.77,-0.171,33.1,-1.0,보통 수급
2026-08-01 04:42:48,BTC,비트코인,67.68,0.0,60,90360000.0,1.35,2.48,-0.141,34.9,-1.0,보통 수급
2026-08-01 04:42:48,ZIL,질리카,54.89,84.4,75,3.08,0.36,15.09,-0.314,23.1,-1.0,보통 수급
2026-08-01 07:49:52,PIEVERSE,파이버스,156.92,82.5,140,953.0,0.06,1.57,-0.536,49.5,0.25,보통 수급
2026-08-01 07:49:52,MMT,모멘텀,86.29,88.6,0,296.0,19.42,10.93,-0.525,59.0,-1.0,보통 수급
2026-08-01 07:49:52,SHIB,시바이누,80.86,1.0,90,0.00677,0.28,5.08,-0.137,60.2,-1.0,보통 수급
2026-08-01 07:49:52,USDT,테더,72.52,0.0,95,1437.0,1.33,1.58,-0.143,32.4,0.07,보통 수급
2026-08-01 07:49:52,ETH,이더리움,70.91,0.0,95,2674000.0,0.84,0.81,-0.008,46.1,0.23,보통 수급
2026-08-01 07:49:52,XRP,엑스알피(리플),69.32,0.0,50,1525.0,0.85,3.77,-0.171,33.1,0.13,보통 수급
2026-08-01 07:49:52,BTC,비트코인,67.68,0.0,60,90360000.0,1.35,2.48,-0.141,34.9,0.32,보통 수급
2026-08-01 07:49:52,ONDO,온도파이낸스,66.02,48.1,0,562.0,0.78,5.77,-0.052,51.9,0.2,보통 수급
2026-08-01 07:49:52,XEC,이캐시,61.92,42.6,0,0.00963,9.65,10.39,-0.088,32.7,-1.0,보통 수급
2026-08-01 07:49:52,LA,라그랑주,53.77,60.7,100,75.7,0.72,8.04,-0.324,48.9,-1.0,보통 수급
2026-08-01 08:36:39,PIEVERSE,파이버스,177.52,89.9,160,953.0,0.06,1.57,-0.536,49.5,-1.0,보통 수급
2026-08-01 08:36:39,SHIB,시바이누,88.54,0.0,105,0.00677,0.28,5.08,-0.137,60.2,-1.0,보통 수급
2026-08-01 08:36:39,MMT,모멘텀,85.59,93.6,0,296.0,19.42,10.93,-0.525,59.0,0.13,보통 수급
2026-08-01 08:36:39,USDT,테더,74.62,0.0,115,1437.0,1.33,1.58,-0.143,32.4,-1.0,보통 수급
2026-08-01 08:36:39,BTC,비트코인,69.3,0.0,95,90360000.0,1.35,2.48,-0.141,34.9,0.18,보통 수급
2026-08-01 08:36:39,ETH,이더리움,68.91,0.0,95,2674000.0,0.84,0.81,-0.008,46.1,-1.0,보통 수급
2026-08-01 08:36:39,XEC,이캐시,68.89,54.5,0,0.00963,9.65,10.39,-0.088,32.7,-1.0,보통 수급
2026-08-01 08:36:39,XRP,엑스알피(리플),67.32,0.0,50,1525.0,0.85,3.77,-0.171,33.1,0.11,보통 수급
2026-08-01 08:36:39,ONDO,온도파이낸스,63.33,61.3,0,562.0,0.78,5.77,-0.052,51.9,-1.0,보통 수급
2026-08-01 08:36:39,SOON,쑨,54.09,89.8,20,319.0,0.59,23.29,0.178,61.4,-1.0,보통 수급
2026-08-01 09:23:25,PIEVERSE,파이버스,192.41,93.2,175,953.0,0.06,1.57,-0.536,49.5,-1.0,보통 수급
2026-08-01 09:23:25,MMT,모멘텀,85.08,83.4,0,296.0,19.42,10.93,-0.525,59.0,-1.0,보통 수급
2026-08-01 09:23:25,SHIB,시바이누,84.54,0.0,105,0.00677,0.28,5.08,-0.137,60.2,-1.0,보통 수급
2026-08-01 09:23:25,USDT,테더,74.63,0.0,115,1437.0,1.33,1.58,-0.143,32.4,0.2,보통 수급
2026-08-01 09:23:25,XRP,엑스알피(리플),71.69,0.0,65,1525.0,0.85,3.77,-0.171,33.1,-1.0,보통 수급
2026-08-01 09:23:25,ETH,이더리움,71.3,0.0,110,2674000.0,0.84,0.81,-0.008,46.1,-1.0,보통 수급
2026-08-01 09:23:25,BTC,비트코인,71.3,0.0,95,90360000.0,1.35,2.48,-0.141,34.9,0.3,보통 수급
2026-08-01 09:23:25,ONDO,온도파이낸스,66.34,41.3,0,562.0,0.78,5.77,-0.052,51.9,-1.0,보통 수급
2026-08-01 09:23:25,MEGA,메가이더,62.1,84.8,95,52.6,0.32,13.33,-0.38,21.5,-1.0,보통 수급
2026-08-01 09:23:25,XEC,이캐시,61.0,38.0,15,0.00963,9.65,10.39,-0.088,32.7,-0.0,보통 수급
